x,y,z,yaw
4.37,-0.6,2.0,-114.17
4.37,-0.6,2.0,-114.6
4.37,-0.61,2.0,-115.04
4.36,-0.62,2.0,-115.48
4.36,-0.63,2.0,-115.92
4.35,-0.64,2.0,-116.36
4.35,-0.65,2.0,-116.8
4.34,-0.66,2.0,-117.24
4.34,-0.67,2.0,-117.69
4.33,-0.68,2.0,-118.14
4.33,-0.68,2.0,-118.59
4.32,-0.69,2.0,-119.04
4.32,-0.7,2.0,-119.49
4.31,-0.71,2.0,-119.95
4.31,-0.72,2.0,-120.41
4.3,-0.73,2.0,-120.87
4.3,-0.74,2.0,-121.33
4.29,-0.75,2.0,-121.79
4.29,-0.75,2.0,-122.25
4.28,-0.76,2.0,-122.72
4.28,-0.77,2.0,-123.19
4.27,-0.78,2.0,-123.66
4.27,-0.79,2.0,-124.13
4.26,-0.8,2.0,-124.6
4.26,-0.8,2.0,-125.08
4.25,-0.81,2.0,-125.55
4.24,-0.82,2.0,-126.03
4.24,-0.83,2.0,-126.51
4.23,-0.84,2.0,-126.99
4.23,-0.84,2.0,-127.47
4.22,-0.85,2.0,-127.96
4.21,-0.86,2.0,-128.45
4.21,-0.87,2.0,-128.93
4.2,-0.88,2.0,-129.42
4.19,-0.88,2.0,-129.91
4.19,-0.89,2.0,-130.4
4.18,-0.9,2.0,-130.9
4.18,-0.91,2.0,-131.39
4.17,-0.91,2.0,-131.89
4.16,-0.92,2.0,-132.38
4.16,-0.93,2.0,-132.88
4.15,-0.94,2.0,-133.38
4.14,-0.94,2.0,-133.88
4.13,-0.95,2.0,-134.38
4.13,-0.96,2.0,-134.88
4.12,-0.96,2.0,-135.38
4.11,-0.97,2.0,-135.89
4.11,-0.98,2.0,-136.39
4.1,-0.98,2.0,-136.9
4.09,-0.99,2.0,-137.4
4.08,-1.0,2.0,-137.91
4.08,-1.0,2.0,-138.42
4.07,-1.01,2.0,-138.92
4.06,-1.02,2.0,-139.43
4.05,-1.02,2.0,-139.94
4.05,-1.03,2.0,-140.45
4.04,-1.04,2.0,-140.95
4.03,-1.04,2.0,-141.46
4.02,-1.05,2.0,-141.97
4.01,-1.06,2.0,-142.48
4.01,-1.06,2.0,-142.99
4.0,-1.07,2.0,-143.49
3.99,-1.07,2.0,-144.0
3.98,-1.08,2.0,-144.51
3.97,-1.09,2.0,-145.01
3.97,-1.09,2.0,-145.52
3.96,-1.1,2.0,-146.02
3.95,-1.1,2.0,-146.53
3.94,-1.11,2.0,-147.03
3.93,-1.11,2.0,-147.54
3.92,-1.12,2.0,-148.04
3.92,-1.12,2.0,-148.54
3.91,-1.13,2.0,-149.04
3.9,-1.13,2.0,-149.54
3.89,-1.14,2.0,-150.03
3.88,-1.14,2.0,-150.53
3.87,-1.15,2.0,-151.03
3.86,-1.15,2.0,-151.52
3.86,-1.16,2.0,-152.01
3.85,-1.16,2.0,-152.5
3.84,-1.17,2.0,-152.99
3.83,-1.17,2.0,-153.48
3.82,-1.18,2.0,-153.96
3.81,-1.18,2.0,-154.45
3.8,-1.19,2.0,-154.93
3.79,-1.19,2.0,-155.41
3.78,-1.19,2.0,-155.88
3.77,-1.2,2.0,-156.36
3.77,-1.2,2.0,-156.83
3.76,-1.21,2.0,-157.3
3.75,-1.21,2.0,-157.77
3.74,-1.21,2.0,-158.24
3.73,-1.22,2.0,-158.7
3.72,-1.22,2.0,-159.16
3.71,-1.22,2.0,-159.62
3.7,-1.23,2.0,-160.08
3.69,-1.23,2.0,-160.53
3.68,-1.23,2.0,-160.98
3.67,-1.24,2.0,-161.43
3.66,-1.24,2.0,-161.87
3.65,-1.24,2.0,-162.32
3.64,-1.25,2.0,-162.76
3.63,-1.25,2.0,-163.2
3.62,-1.25,2.0,-163.63
3.61,-1.25,2.0,-164.06
3.6,-1.26,2.0,-164.49
3.6,-1.26,2.0,-164.92
3.59,-1.26,2.0,-165.34
3.58,-1.27,2.0,-165.76
3.57,-1.27,2.0,-166.17
3.56,-1.27,2.0,-166.59
3.55,-1.27,2.0,-167.0
3.54,-1.27,2.0,-167.41
3.53,-1.28,2.0,-167.81
3.52,-1.28,2.0,-168.21
3.51,-1.28,2.0,-168.61
3.5,-1.28,2.0,-169.01
3.49,-1.28,2.0,-169.4
3.48,-1.29,2.0,-169.79
3.47,-1.29,2.0,-170.17
3.46,-1.29,2.0,-170.56
3.45,-1.29,2.0,-170.94
3.44,-1.29,2.0,-171.31
3.43,-1.29,2.0,-171.69
3.42,-1.3,2.0,-172.06
3.41,-1.3,2.0,-172.42
3.4,-1.3,2.0,-172.79
3.39,-1.3,2.0,-173.15
3.38,-1.3,2.0,-173.51
3.37,-1.3,2.0,-173.86
3.36,-1.3,2.0,-174.21
3.35,-1.3,2.0,-174.56
3.34,-1.31,2.0,-174.91
3.33,-1.31,2.0,-175.25
3.32,-1.31,2.0,-175.59
3.31,-1.31,2.0,-175.93
3.3,-1.31,2.0,-176.26
3.29,-1.31,2.0,-176.59
3.28,-1.31,2.0,-176.92
3.27,-1.31,2.0,-177.24
3.26,-1.31,2.0,-177.56
3.25,-1.31,2.0,-177.88
3.24,-1.31,2.0,-178.2
3.23,-1.31,2.0,-178.51
3.22,-1.31,2.0,-178.82
3.21,-1.31,2.0,-179.13
3.2,-1.31,2.0,-179.43
3.19,-1.31,2.0,-179.73
3.18,-1.31,2.0,179.97
3.17,-1.31,2.0,179.67
3.16,-1.31,2.0,179.38
3.15,-1.31,2.0,179.09
3.14,-1.31,2.0,178.8
3.13,-1.31,2.0,178.52
3.12,-1.31,2.0,178.24
3.11,-1.31,2.0,177.96
3.1,-1.31,2.0,177.68
3.09,-1.31,2.0,177.41
3.08,-1.31,2.0,177.14
3.07,-1.31,2.0,176.87
3.06,-1.31,2.0,176.6
3.05,-1.31,2.0,176.34
3.04,-1.31,2.0,176.08
3.03,-1.31,2.0,175.82
3.02,-1.31,2.0,175.56
3.01,-1.3,2.0,175.31
3.0,-1.3,2.0,175.06
2.99,-1.3,2.0,174.81
2.98,-1.3,2.0,174.56
2.97,-1.3,2.0,174.32
2.96,-1.3,2.0,174.08
2.95,-1.3,2.0,173.84
2.94,-1.3,2.0,173.6
2.93,-1.3,2.0,173.37
2.92,-1.3,2.0,173.13
2.91,-1.29,2.0,172.9
2.9,-1.29,2.0,172.68
2.89,-1.29,2.0,172.45
2.88,-1.29,2.0,172.23
2.87,-1.29,2.0,172.0
2.86,-1.29,2.0,171.78
2.85,-1.29,2.0,171.57
2.84,-1.28,2.0,171.35
2.83,-1.28,2.0,171.14
2.82,-1.28,2.0,170.93
2.81,-1.28,2.0,170.72
2.8,-1.28,2.0,170.51
2.79,-1.28,2.0,170.31
2.78,-1.28,2.0,170.1
2.77,-1.27,2.0,169.9
2.76,-1.27,2.0,169.7
2.75,-1.27,2.0,169.5
2.74,-1.27,2.0,169.31
2.73,-1.27,2.0,169.11
2.72,-1.26,2.0,168.92
2.71,-1.26,2.0,168.73
2.7,-1.26,2.0,168.54
2.69,-1.26,2.0,168.36
2.68,-1.26,2.0,168.17
2.67,-1.25,2.0,167.99
2.66,-1.25,2.0,167.81
2.65,-1.25,2.0,167.63
2.64,-1.25,2.0,167.45
2.63,-1.25,2.0,167.27
2.62,-1.24,2.0,167.1
2.62,-1.24,2.0,166.93
2.61,-1.24,2.0,166.75
2.6,-1.24,2.0,166.58
2.59,-1.23,2.0,166.42
2.58,-1.23,2.0,166.25
2.57,-1.23,2.0,166.08
