x,y,z,yaw
-0.94,0.35,2.0,159.33
-0.93,0.36,2.0,159.18
-0.93,0.36,2.0,159.03
-0.93,0.36,2.0,158.87
-0.93,0.36,2.0,158.73
-0.93,0.37,2.0,158.58
-0.93,0.37,2.0,158.43
-0.93,0.37,2.0,158.29
-0.93,0.37,2.0,158.15
-0.93,0.37,2.0,158.01
-0.93,0.38,2.0,157.87
-0.93,0.38,2.0,157.74
-0.92,0.38,2.0,157.6
-0.92,0.38,2.0,157.47
-0.92,0.39,2.0,157.34
-0.92,0.39,2.0,157.21
-0.92,0.39,2.0,157.09
-0.92,0.39,2.0,156.96
-0.92,0.39,2.0,156.84
-0.92,0.4,2.0,156.71
-0.92,0.4,2.0,156.59
-0.92,0.4,2.0,156.47
-0.92,0.4,2.0,156.36
-0.92,0.4,2.0,156.24
-0.91,0.4,2.0,156.13
-0.91,0.41,2.0,156.01
-0.91,0.41,2.0,155.9
-0.91,0.41,2.0,155.79
-0.91,0.41,2.0,155.68
-0.91,0.41,2.0,155.57
-0.91,0.42,2.0,155.47
-0.91,0.42,2.0,155.36
-0.91,0.42,2.0,155.26
-0.91,0.42,2.0,155.16
-0.91,0.42,2.0,155.06
-0.91,0.42,2.0,154.96
-0.91,0.42,2.0,154.86
-0.9,0.43,2.0,154.76
-0.9,0.43,2.0,154.67
-0.9,0.43,2.0,154.57
-0.9,0.43,2.0,154.48
-0.9,0.43,2.0,154.39
-0.9,0.43,2.0,154.3
-0.9,0.44,2.0,154.21
-0.9,0.44,2.0,154.12
-0.9,0.44,2.0,154.03
-0.9,0.44,2.0,153.95
-0.9,0.44,2.0,153.86
-0.9,0.44,2.0,153.78
-0.9,0.44,2.0,153.7
-0.9,0.44,2.0,153.61
-0.9,0.45,2.0,153.53
-0.89,0.45,2.0,153.45
-0.89,0.45,2.0,153.38
-0.89,0.45,2.0,153.3
-0.89,0.45,2.0,153.22
-0.89,0.45,2.0,153.15
-0.89,0.45,2.0,153.07
-0.89,0.45,2.0,153.0
-0.89,0.46,2.0,152.93
-0.89,0.46,2.0,152.86
-0.89,0.46,2.0,152.79
-0.89,0.46,2.0,152.72
-0.89,0.46,2.0,152.65
-0.89,0.46,2.0,152.58
-0.89,0.46,2.0,152.52
-0.89,0.46,2.0,152.45
-0.89,0.46,2.0,152.39
-0.89,0.46,2.0,152.32
-0.89,0.47,2.0,152.26
-0.88,0.47,2.0,152.2
-0.88,0.47,2.0,152.14
-0.88,0.47,2.0,152.08
-0.88,0.47,2.0,152.02
-0.88,0.47,2.0,151.96
-0.88,0.47,2.0,151.91
-0.88,0.47,2.0,151.85
-0.88,0.47,2.0,151.79
-0.88,0.47,2.0,151.74
-0.88,0.47,2.0,151.69
-0.88,0.48,2.0,151.63
-0.88,0.48,2.0,151.58
-0.88,0.48,2.0,151.53
-0.88,0.48,2.0,151.48
-0.88,0.48,2.0,151.43
-0.88,0.48,2.0,151.38
-0.88,0.48,2.0,151.33
-0.88,0.48,2.0,151.29
-0.88,0.48,2.0,151.24
-0.88,0.48,2.0,151.2
-0.88,0.48,2.0,151.15
-0.88,0.48,2.0,151.11
-0.88,0.48,2.0,151.06
-0.87,0.48,2.0,151.02
-0.87,0.49,2.0,150.98
-0.87,0.49,2.0,150.94
-0.87,0.49,2.0,150.9
-0.87,0.49,2.0,150.86
-0.87,0.49,2.0,150.82
-0.87,0.49,2.0,150.78
-0.87,0.49,2.0,150.75
-0.87,0.49,2.0,150.71
-0.87,0.49,2.0,150.67
-0.87,0.49,2.0,150.64
-0.87,0.49,2.0,150.6
-0.87,0.49,2.0,150.57
-0.87,0.49,2.0,150.54
-0.87,0.49,2.0,150.51
-0.87,0.49,2.0,150.47
-0.87,0.49,2.0,150.44
-0.87,0.49,2.0,150.41
-0.87,0.49,2.0,150.38
-0.87,0.49,2.0,150.36
-0.87,0.5,2.0,150.33
-0.87,0.5,2.0,150.3
-0.87,0.5,2.0,150.27
-0.87,0.5,2.0,150.25
-0.87,0.5,2.0,150.22
-0.87,0.5,2.0,150.2
-0.87,0.5,2.0,150.17
-0.87,0.5,2.0,150.15
-0.87,0.5,2.0,150.13
-0.87,0.5,2.0,150.11
-0.87,0.5,2.0,150.09
-0.87,0.5,2.0,150.06
-0.87,0.5,2.0,150.04
-0.87,0.5,2.0,150.03
-0.87,0.5,2.0,150.01
-0.87,0.5,2.0,149.99
-0.87,0.5,2.0,149.97
-0.87,0.5,2.0,149.95
-0.87,0.5,2.0,149.94
-0.87,0.5,2.0,149.92
-0.87,0.5,2.0,149.91
-0.87,0.5,2.0,149.89
-0.86,0.5,2.0,149.88
-0.86,0.5,2.0,149.87
-0.86,0.5,2.0,149.86
-0.86,0.5,2.0,149.84
-0.86,0.5,2.0,149.83
-0.86,0.5,2.0,149.82
-0.86,0.5,2.0,149.81
-0.86,0.5,2.0,149.8
-0.86,0.5,2.0,149.8
-0.86,0.5,2.0,149.79
-0.86,0.5,2.0,149.78
-0.86,0.5,2.0,149.77
-0.86,0.5,2.0,149.77
-0.86,0.5,2.0,149.76
-0.86,0.5,2.0,149.76
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.74
-0.86,0.5,2.0,149.74
-0.86,0.5,2.0,149.74
-0.86,0.5,2.0,149.74
-0.86,0.5,2.0,149.74
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.75
-0.86,0.5,2.0,149.76
-0.86,0.5,2.0,149.76
-0.86,0.5,2.0,149.77
-0.86,0.5,2.0,149.77
-0.86,0.5,2.0,149.78
-0.86,0.5,2.0,149.79
-0.86,0.5,2.0,149.8
-0.86,0.5,2.0,149.8
-0.86,0.5,2.0,149.81
-0.86,0.5,2.0,149.82
